metier;area_management;number_cell_management;number_cell_metier;number_cell_intersection
O_NS_CEP_Zhigh @ 15-Inf;Zone_Coraux;48;188;4
O_NS_CEP_Zhigh @ 15-Inf;zone_FermG;702;188;188
O_NS_CEP_Zhigh @ 15-Inf;Zone_ZFH_FrayereSole;56;188;47
O_NS_CEP_Zhigh @ bob_north-12-15;zbsi_penatules;106;14;0
O_NS_CEP_Zhigh @ bob_north-12-15;Zone_3miles-2rectSud;52;14;2
O_NS_CEP_Zhigh @ bob_north-12-15;Zone_Coraux;48;14;0
O_NS_CEP_Zhigh @ bob_north-12-15;zone_FermG;702;14;14
O_NS_CEP_Zhigh @ bob_north-12-15;Zone_ZFH_FrayereSole;56;14;7
O_NS_CEP_Zhigh @ bob_south-12-15;zbsi_penatules;106;57;11
O_NS_CEP_Zhigh @ bob_south-12-15;Zone_3miles-2rectSud;52;57;8
O_NS_CEP_Zhigh @ bob_south-12-15;Zone_Coraux;48;57;0
O_NS_CEP_Zhigh @ bob_south-12-15;zone_FermG;702;57;57
O_NS_CEP_Zhigh @ bob_south-12-15;Zone_ZFH_FrayereSole;56;57;18
O_NS_CEP_Zlow @ 15-Inf;zbsi_penatules;106;100;21
O_NS_CEP_Zlow @ 15-Inf;Zone_3miles-2rectSud;52;100;5
O_NS_CEP_Zlow @ 15-Inf;Zone_Coraux;48;100;4
O_NS_CEP_Zlow @ 15-Inf;zone_FermG;702;100;100
O_NS_CEP_Zlow @ 15-Inf;Zone_ZFH_FrayereSole;56;100;9
O_NS_CEP_Zlow @ bob_north-12-15;zbsi_penatules;106;75;27
O_NS_CEP_Zlow @ bob_north-12-15;Zone_3miles-2rectSud;52;75;6
O_NS_CEP_Zlow @ bob_north-12-15;Zone_Coraux;48;75;0
O_NS_CEP_Zlow @ bob_north-12-15;zone_FermG;702;75;75
O_NS_CEP_Zlow @ bob_north-12-15;Zone_ZFH_FrayereSole;56;75;23
O_NS_CEP_Zlow @ bob_south-12-15;zbsi_penatules;106;84;29
O_NS_CEP_Zlow @ bob_south-12-15;Zone_3miles-2rectSud;52;84;14
O_NS_CEP_Zlow @ bob_south-12-15;Zone_Coraux;48;84;0
O_NS_CEP_Zlow @ bob_south-12-15;zone_FermG;702;84;84
O_NS_CEP_Zlow @ bob_south-12-15;Zone_ZFH_FrayereSole;56;84;30
O_NS_DEF_Zhigh @ 15-Inf;zbsi_penatules;106;30;3
O_NS_DEF_Zhigh @ 15-Inf;Zone_3miles-2rectSud;52;30;0
O_NS_DEF_Zhigh @ 15-Inf;Zone_Coraux;48;30;2
O_NS_DEF_Zhigh @ 15-Inf;zone_FermG;702;30;30
O_NS_DEF_Zhigh @ 15-Inf;Zone_ZFH_FrayereSole;56;30;0
O_NS_DEF_Zhigh @ bob_north-12-15;zbsi_penatules;106;30;15
O_NS_DEF_Zhigh @ bob_north-12-15;Zone_3miles-2rectSud;52;30;0
O_NS_DEF_Zhigh @ bob_north-12-15;Zone_Coraux;48;30;0
O_NS_DEF_Zhigh @ bob_north-12-15;zone_FermG;702;30;30
O_NS_DEF_Zhigh @ bob_north-12-15;Zone_ZFH_FrayereSole;56;30;4
O_NS_DEF_Zhigh @ bob_south-12-15;zbsi_penatules;106;29;9
O_NS_DEF_Zhigh @ bob_south-12-15;Zone_3miles-2rectSud;52;29;0
O_NS_DEF_Zhigh @ bob_south-12-15;Zone_Coraux;48;29;0
O_NS_DEF_Zhigh @ bob_south-12-15;zone_FermG;702;29;29
O_NS_DEF_Zhigh @ bob_south-12-15;Zone_ZFH_FrayereSole;56;29;14
O_NS_DEF_Zlow @ 15-Inf;zbsi_penatules;106;333;99
O_NS_DEF_Zlow @ 15-Inf;Zone_3miles-2rectSud;52;333;27
O_NS_DEF_Zlow @ 15-Inf;Zone_Coraux;48;333;26
O_NS_DEF_Zlow @ 15-Inf;zone_FermG;702;333;333
O_NS_DEF_Zlow @ 15-Inf;Zone_ZFH_FrayereSole;56;333;56
O_NS_DEF_Zlow @ bob_north-12-15;zbsi_penatules;106;159;38
O_NS_DEF_Zlow @ bob_north-12-15;Zone_3miles-2rectSud;52;159;12
O_NS_DEF_Zlow @ bob_north-12-15;Zone_Coraux;48;159;6
O_NS_DEF_Zlow @ bob_north-12-15;zone_FermG;702;159;159
O_NS_DEF_Zlow @ bob_north-12-15;Zone_ZFH_FrayereSole;56;159;34
O_NS_DEF_Zlow @ bob_south-12-15;zbsi_penatules;106;160;57
O_NS_DEF_Zlow @ bob_south-12-15;Zone_3miles-2rectSud;52;160;21
O_NS_DEF_Zlow @ bob_south-12-15;Zone_Coraux;48;160;3
O_NS_DEF_Zlow @ bob_south-12-15;zone_FermG;702;160;160
O_NS_DEF_Zlow @ bob_south-12-15;Zone_ZFH_FrayereSole;56;160;32
O_NS_DEF_Zunique @ other-12-15;zbsi_penatules;106;6;0
O_NS_DEF_Zunique @ other-12-15;Zone_3miles-2rectSud;52;6;0
O_NS_DEF_Zunique @ other-12-15;Zone_Coraux;48;6;0
O_NS_DEF_Zunique @ other-12-15;zone_FermG;702;6;6
O_NS_DEF_Zunique @ other-12-15;Zone_ZFH_FrayereSole;56;6;0
T_low_activity_4_Zunique @ Chalutiers Arts dormants-10-12;zbsi_penatules;106;13;0
T_low_activity_4_Zunique @ Chalutiers Arts dormants-10-12;Zone_3miles-2rectSud;52;13;1
T_low_activity_4_Zunique @ Chalutiers Arts dormants-10-12;Zone_Coraux;48;13;0
T_low_activity_4_Zunique @ Chalutiers Arts dormants-10-12;zone_FermG;702;13;13
T_low_activity_4_Zunique @ Chalutiers Arts dormants-10-12;Zone_ZFH_FrayereSole;56;13;2
T_low_activity_4_Zunique @ Chalutiers de fond exclusifs-10-12;zbsi_penatules;106;24;0
T_low_activity_4_Zunique @ Chalutiers de fond exclusifs-10-12;Zone_3miles-2rectSud;52;24;5
T_low_activity_4_Zunique @ Chalutiers de fond exclusifs-10-12;Zone_Coraux;48;24;0
T_low_activity_4_Zunique @ Chalutiers de fond exclusifs-10-12;zone_FermG;702;24;24
T_low_activity_4_Zunique @ Chalutiers de fond exclusifs-10-12;Zone_ZFH_FrayereSole;56;24;3
T_low_activity_4_Zunique @ Chalutiers Dragueurs-10-12;zbsi_penatules;106;13;0
T_low_activity_4_Zunique @ Chalutiers Dragueurs-10-12;Zone_3miles-2rectSud;52;13;1
T_low_activity_4_Zunique @ Chalutiers Dragueurs-10-12;Zone_Coraux;48;13;0
T_low_activity_4_Zunique @ Chalutiers Dragueurs-10-12;zone_FermG;702;13;13
T_low_activity_4_Zunique @ Chalutiers Dragueurs-10-12;Zone_ZFH_FrayereSole;56;13;2
T_low_activity_4_Zunique @ Chalutiers Tamiseurs-10-12;zbsi_penatules;106;15;0
T_low_activity_4_Zunique @ Chalutiers Tamiseurs-10-12;Zone_3miles-2rectSud;52;15;4
T_low_activity_4_Zunique @ Chalutiers Tamiseurs-10-12;Zone_Coraux;48;15;0
T_low_activity_4_Zunique @ Chalutiers Tamiseurs-10-12;zone_FermG;702;15;15
T_low_activity_4_Zunique @ Chalutiers Tamiseurs-10-12;Zone_ZFH_FrayereSole;56;15;1
T_low_activity_4_Zunique @ Flottilles agrégées-0-10;zbsi_penatules;106;10;0
T_low_activity_4_Zunique @ Flottilles agrégées-0-10;Zone_3miles-2rectSud;52;10;1
T_low_activity_4_Zunique @ Flottilles agrégées-0-10;Zone_Coraux;48;10;0
T_low_activity_4_Zunique @ Flottilles agrégées-0-10;zone_FermG;702;10;10
T_low_activity_4_Zunique @ Flottilles agrégées-0-10;Zone_ZFH_FrayereSole;56;10;3
T_low_activity_4_Zunique @ Palangriers exclusifs-0-10;zbsi_penatules;106;12;1
T_low_activity_4_Zunique @ Palangriers exclusifs-0-10;Zone_3miles-2rectSud;52;12;3
T_low_activity_4_Zunique @ Palangriers exclusifs-0-10;Zone_Coraux;48;12;0
T_low_activity_4_Zunique @ Palangriers exclusifs-0-10;zone_FermG;702;12;12
T_low_activity_4_Zunique @ Palangriers exclusifs-0-10;Zone_ZFH_FrayereSole;56;12;0
Zone_ZFH_FrayereSole;zbsi_penatules;106;56;15
Zone_ZFH_FrayereSole;Zone_3miles-2rectSud;52;56;0
Zone_ZFH_FrayereSole;Zone_Coraux;48;56;0
Zone_ZFH_FrayereSole;zone_FermG;702;56;56
Zone_ZFH_FrayereSole;Zone_ZFH_FrayereSole;56;56;56
